% Users Dataset
@RELATION users

@ATTRIBUTE label_nominal {easy, difficult}
@ATTRIBUTE label_numeric NUMERIC
@ATTRIBUTE num_wifi_devices NUMERIC
@ATTRIBUTE num_bluetooth_devices NUMERIC
@ATTRIBUTE accelerometer_mean_x NUMERIC
@ATTRIBUTE accelerometer_mean_y NUMERIC
@ATTRIBUTE accelerometer_mean_z NUMERIC
@ATTRIBUTE accelerometer_mean_fft_x NUMERIC
@ATTRIBUTE accelerometer_mean_fft_y NUMERIC
@ATTRIBUTE accelerometer_mean_fft_z NUMERIC
@ATTRIBUTE accelerometer_spec_entropy_x NUMERIC
@ATTRIBUTE accelerometer_spec_entropy_y NUMERIC
@ATTRIBUTE accelerometer_spec_entropy_z NUMERIC
@ATTRIBUTE accelerometer_mean_intensity NUMERIC
@ATTRIBUTE accelerometer_mean_intensity_crossing_rate NUMERIC
@ATTRIBUTE accelerometer_intensity_variance NUMERIC
@ATTRIBUTE gyroscope_mean_x NUMERIC
@ATTRIBUTE gyroscope_mean_y NUMERIC
@ATTRIBUTE gyroscope_mean_z NUMERIC
@ATTRIBUTE gyroscope_mean_fft_x NUMERIC
@ATTRIBUTE gyroscope_mean_fft_y NUMERIC
@ATTRIBUTE gyroscope_mean_fft_z NUMERIC
@ATTRIBUTE gyroscope_spec_entropy_x NUMERIC
@ATTRIBUTE gyroscope_spec_entropy_y NUMERIC
@ATTRIBUTE gyroscope_spec_entropy_z NUMERIC
@ATTRIBUTE gyroscope_mean_intensity NUMERIC
@ATTRIBUTE gyroscope_mean_intensity_crossing_rate NUMERIC
@ATTRIBUTE gyroscope_intensity_variance NUMERIC
@ATTRIBUTE microphone_mean NUMERIC
@ATTRIBUTE microphone_mean_crossing NUMERIC
@ATTRIBUTE microphone_mean_fft NUMERIC
@ATTRIBUTE microphone_spec_entropy NUMERIC
@ATTRIBUTE google_activity {"In Vehicle", "On Bicycle", "On Foot", Walking, Still, Tilting, Running, Unknown}
@ATTRIBUTE charging {yes, no}
@ATTRIBUTE screen_on {on, off}
@ATTRIBUTE num_of_calendar_events NUMERIC
@ATTRIBUTE hour_of_day NUMERIC

@DATA
easy,2,?,?,0.0815172304395,0.11603236828,9.77931245329,96.1700451347,95.9780037566,95.9780037566,1.37197858143,1.37208099184,1.37208099184,9.78035512165,244,0.000334127327364,0.000427507459211,0.000670462509211,-0.00062374039693,1.92914037343e-05,3.40436536488e-06,1.13478845496e-06,1.30292420342,0,1.37261778967,0.00278466876174,167,5.61173505898e-06,561,15,846911808.0,40.006617003,Still,yes,?,?,10
easy,2,?,?,-0.657780024047,-0.178878139389,9.74326015096,95.7548755636,94.9047414763,94.6962425913,1.36260286704,1.36184070855,1.36241683191,9.76711230145,262,0.000628689321039,0.000503366740879,0.000489319296923,-0.000458883168791,1.13478845496e-06,5.6739422748e-06,1.13478845496e-06,1.37261778967,1.04696856998,1.37261778967,0.00181049352215,203,1.14155300567e-06,4504,9,10457986951.0,6.97341590174,Still,yes,?,0,13
easy,2,?,?,1.31067039824,1.00302818668,9.66029124098,93.5956238004,91.0171720166,91.0171720166,1.29419972239,1.29149425557,1.29149425557,9.81204162228,338,0.159170096432,-0.00147927552467,0.00311903846266,0.00963622414279,0.000731938479946,0.000141848550905,0.000482285015594,1.24024124517,0.221086843575,1.21353960226,0.0310856087023,142,0.000213255311973,4929,66,5855301157.0,1.94112772628,Tilting,no,?,0,9
easy,2,?,?,-0.413225998255,1.53060907044,9.39797869979,91.9807152945,91.9807152945,91.9807152945,1.33713607934,1.33713607934,1.33713607934,9.83291445341,56,0.863812963591,-0.0294320015308,-0.0106154305528,-0.016767448148,0.00162274709645,0.00225255494781,0.0158745529236,1.36951070367,1.28859223047,1.36056489799,0.370871345404,7,0.368815790047,1987,31,2403218665.0,10.2779344687,?,no,?,0,17
easy,2,?,?,-1.01013199828,5.43104831231,7.62779191679,97.4252712751,97.3230718262,97.3230718262,1.26794891278,1.24600763626,1.24600763626,9.90974116526,136,0.524590330774,-0.0149137022814,0.211344275978,0.135419118938,0.00353826993215,0.00173055233309,0.00372891440707,1.19497200878,1.31838930088,0.713287702336,0.535686605822,17,2.10677087854,1603,28,1178977157.0,7.2277116672,'In Vehicle',no,?,0,12
easy,1,?,?,-0.475697950557,4.46593434219,8.64486387129,87.8806185665,90.468446718,95.6223719135,1.25459728457,1.24280707371,1.25140248981,9.7581468334,205,0.0367658535351,-0.0256062302506,0.00220006924824,0.000286343031641,0.166896421254,0.165491839303,0.157068964697,0.843364733043,0.804372814193,0.719109105443,0.113226511525,39,0.0165506160867,3148,88,1885634708.0,0.594607740647,?,no,?,?,6
easy,2,10,?,-1.19889650389,-9.92953994375,-1.76506908249,92.6813455151,92.6813455151,92.6813455151,1.23399773405,1.23399773405,1.23399773405,10.2124287405,78,0.370032555502,-0.0299167955951,-0.069367411087,-0.0385649191018,5.69167003191,5.09828658251,3.24031184308,1.03503082271,0.954269473608,0.535765753477,0.380345859893,14,0.259907114647,2211,30,2062500164.0,6.26068744586,?,no,?,?,12
easy,2,3,?,-8.82772090918,2.57299992187,1.84432090555,88.3805507158,88.3805507158,88.3805507158,1.0489077339,1.0489077339,1.0489077339,9.38228411131,191,0.00765710734844,-0.0182827526955,0.00652149665187,-0.00243385994578,0.0240655996688,0.0240655996688,0.000903038432051,0.745084781344,0.745084781344,1.34474729515,0.0648675694761,50,0.00462302767128,49,53,883323.0,6.32424429551,Still,no,?,?,19
easy,1,2,?,-1.04566866214,4.73037617374,8.15213039596,89.0590902474,89.2429464862,88.9697671546,1.2955676882,1.29655506091,1.29512049407,9.4845831628,147,0.00519525419006,0.00906615326648,-0.00851209810973,0.00520163588541,0.000636604637947,0.000143786886868,0.000726097733577,0.378221066301,0.709514821826,1.27337597508,0.0255495763893,96,0.000212278878829,6259,39,16855780221.0,5.83647887268,Still,no,?,?,17
difficult,3,?,?,1.74256887868,8.78915972696,3.18290044346,140.614345127,130.244864937,143.728780232,0.701048236965,1.05401470475,1.27815787689,9.53682004063,87,0.187752183327,-0.00782453161031,-0.0135061589714,0.00351625799026,0.00057590426611,0.00037135881691,0.000526791922777,0.832276668418,1.36525114745,1.27418794753,0.0651484726496,20,0.0166792830829,390,14,325472386.0,18.4301690729,Tilting,no,?,?,23
