% Users Dataset
@RELATION users

@ATTRIBUTE label_nominal {easy, difficult}
@ATTRIBUTE label_numeric NUMERIC
@ATTRIBUTE sensing_policy {NONE, LOCATION_UPDATES, INTERVAL, ACTIVITY_UPDATES, USER_FORCED}
@ATTRIBUTE num_wifi_devices NUMERIC
@ATTRIBUTE num_bluetooth_devices NUMERIC
@ATTRIBUTE accelerometer_mean_intensity NUMERIC
@ATTRIBUTE accelerometer_mean_intensity_crossing_rate NUMERIC
@ATTRIBUTE accelerometer_intensity_variance NUMERIC
@ATTRIBUTE gyroscope_mean_intensity NUMERIC
@ATTRIBUTE gyroscope_mean_intensity_crossing_rate NUMERIC
@ATTRIBUTE gyroscope_intensity_variance NUMERIC
@ATTRIBUTE microphone_mean NUMERIC
@ATTRIBUTE microphone_mean_crossing NUMERIC
@ATTRIBUTE google_activity {"In Vehicle", "On Bicycle", "On Foot", Walking, Still, Tilting, Running, Unknown}
@ATTRIBUTE charging {yes, no}
@ATTRIBUTE screen_on {on, off}
@ATTRIBUTE num_of_calendar_events NUMERIC
@ATTRIBUTE hour_of_day NUMERIC
@ATTRIBUTE t_started_pretty STRING

@DATA
difficult,5,NONE,20,?,9.81487657865,247,0.00701122006724,0.0114528484358,206,3.0775040964e-05,128,20,Still,no,?,1,11,'11:01:39 05/05/2016 '
difficult,5,NONE,18,?,9.80907327941,223,0.00407169030213,0.0112111226181,207,2.55659053606e-05,174,11,Still,no,?,0,13,'13:01:30 05/05/2016 '
difficult,4,NONE,11,?,9.80936449422,229,0.00376626196509,0.0101644333375,243,2.12439446825e-05,42,39,Still,no,?,0,10,'10:29:09 06/05/2016 '
easy,1,USER_FORCED,38,?,9.83763906792,207,0.00416459006046,0.0125975682674,234,3.36762741423e-05,612,16,Still,no,?,0,13,'13:55:25 06/05/2016 '
difficult,4,ACTIVITY_UPDATES,21,?,9.81810010282,240,0.00317479389394,0.0102233021654,223,2.26116337777e-05,20,20,Still,no,?,0,10,'10:09:01 10/05/2016 '
difficult,4,ACTIVITY_UPDATES,20,?,9.78676842569,227,0.00394410835272,0.0105755562102,229,2.30945558442e-05,31,26,Tilting,no,on,0,13,'13:30:37 10/05/2016 '
difficult,3,NONE,15,?,9.81486645137,198,0.00472599304446,0.0106746779735,211,2.49413162509e-05,31,23,Still,no,?,0,10,'10:40:42 11/05/2016 '
difficult,4,USER_FORCED,25,?,9.79899796701,221,0.00508412645656,0.0126372652462,217,3.2498712524e-05,13,80,Still,no,?,0,15,'15:08:40 11/05/2016 '
difficult,4,USER_FORCED,20,?,9.80882846151,236,0.00410466486991,0.0119629456577,211,3.11272111767e-05,11,83,Still,no,?,0,15,'15:35:23 11/05/2016 '
difficult,4,NONE,12,?,9.7796149897,214,0.00331329225328,0.0102700086335,227,2.08550572262e-05,19,42,Still,no,?,0,13,'13:20:55 12/05/2016 '
difficult,4,NONE,?,?,9.81101531722,180,0.65761647218,0.386020040937,22,0.732998094666,168,10,Still,no,?,1,10,'10:06:12 16/05/2016 '
difficult,4,USER_FORCED,?,?,9.78080566109,223,0.00455359338404,0.0111303347227,234,2.56975212007e-05,27,32,Still,no,?,1,10,'10:06:26 16/05/2016 '
difficult,4,USER_FORCED,15,?,9.78239449544,201,0.00411945801198,0.0116038239703,226,2.74111052095e-05,33,36,Still,no,?,1,13,'13:34:22 16/05/2016 '
easy,2,ACTIVITY_UPDATES,9,2,10.1648381594,83,3.54975245432,1.27561876594,47,0.766597597215,881,25,Still,no,?,0,13,'13:34:11 17/05/2016 '
easy,2,ACTIVITY_UPDATES,4,2,9.81721272139,218,0.00411566071608,0.0100542992756,244,2.03658144999e-05,25,39,Still,no,?,0,9,'09:11:47 18/05/2016 '
difficult,4,NONE,18,?,9.84496918936,221,0.00358218551551,0.0102026143779,229,2.08977309487e-05,312,24,Still,no,on,0,10,'10:52:42 19/05/2016 '
difficult,4,NONE,1,?,9.9013998145,56,1.00914757481,0.760146960289,27,0.381619674429,75,45,Still,no,on,1,12,'12:14:14 20/05/2016 '
difficult,4,USER_FORCED,?,?,9.60443695466,168,0.240877490186,0.180685063026,92,0.0468313494014,12374,53,Tilting,no,?,?,17,'17:53:08 08/04/2016 '
easy,2,ACTIVITY_UPDATES,3,?,9.61105138673,233,8.08919782717e-05,0.0979650084385,1,0.0741224782644,1176,12,Tilting,no,?,?,8,'08:13:43 11/04/2016 '
easy,2,USER_FORCED,3,?,9.41945794115,165,0.0189979310664,0.0897729837032,1,0.0462107816599,393,8,Tilting,no,?,?,8,'08:38:05 11/04/2016 '
difficult,3,USER_FORCED,1,?,9.42822350067,227,9.50347568854e-05,0.0929729144835,1,0.0552167847577,459,1,Still,no,?,?,12,'12:52:51 11/04/2016 '
easy,2,USER_FORCED,?,?,9.42394958676,248,8.81887723991e-05,0.0898218471276,1,0.0447298044071,32,14,Still,yes,?,?,7,'07:03:07 12/04/2016 '
difficult,4,USER_FORCED,?,?,9.35925734266,211,0.000100333671327,0.0885533903872,1,0.0466492885004,86,48,Tilting,no,?,?,10,'10:11:31 12/04/2016 '
easy,2,USER_FORCED,?,?,9.31582704738,106,0.76077555602,0.591058894142,17,0.86867083232,2948,30,?,yes,on,?,12,'12:00:48 12/04/2016 '
difficult,4,USER_FORCED,?,?,8.87247607741,198,0.000171669701294,0.0904783542329,1,0.0538442182999,7159,59,Still,yes,?,?,13,'13:16:35 12/04/2016 '
easy,2,USER_FORCED,?,?,9.13510158248,196,1.85861978802,0.586691202735,26,0.69181712758,13285,54,Tilting,no,?,?,14,'14:08:31 12/04/2016 '
difficult,4,USER_FORCED,?,?,9.04334964182,118,1.11129274224,0.68260848328,28,0.576657683349,15317,51,?,no,?,?,15,'15:11:44 12/04/2016 '
easy,2,USER_FORCED,?,?,9.12459390757,242,1.82414505229,0.29493500279,10,0.427310744531,15870,77,?,no,?,?,16,'16:31:31 12/04/2016 '
easy,2,USER_FORCED,?,?,9.36195722363,134,0.0023864837317,0.0995720181006,7,0.0474018870214,1070,42,Still,yes,?,?,8,'08:42:54 14/04/2016 '
difficult,3,ACTIVITY_UPDATES,?,?,9.64314037882,267,0.000113289307097,0.0986842955356,1,0.0445061400403,4824,28,Tilting,no,?,?,12,'12:04:02 14/04/2016 '
easy,2,USER_FORCED,5,?,9.46127823552,170,0.000348047965496,0.100798690759,9,0.0479019566386,344,48,Still,no,?,?,16,'16:04:47 14/04/2016 '
difficult,4,USER_FORCED,3,?,9.53288506602,251,0.000115377138295,0.10018156228,1,0.0467921305169,1557,54,Still,no,off,?,9,'09:52:23 15/04/2016 '
easy,2,USER_FORCED,2,?,9.60535643774,20,0.749870206404,0.438162186992,5,0.994849719087,972,18,Still,no,?,?,10,'10:20:40 15/04/2016 '
easy,2,USER_FORCED,?,?,9.5370526115,248,0.000103559591676,0.100737209398,1,0.0552191704836,168,31,Still,no,?,?,8,'08:14:17 18/04/2016 '
difficult,5,USER_FORCED,?,?,9.59201537867,237,9.7480407093e-05,0.0985203731644,1,0.0379289791747,257,6,Tilting,no,?,?,8,'08:54:08 18/04/2016 '
easy,2,USER_FORCED,2,?,9.48443105355,220,8.58370648873e-05,0.0984650045443,1,0.0470883695025,213,65,Tilting,no,?,?,10,'10:07:27 18/04/2016 '
easy,1,USER_FORCED,3,?,9.31995701769,235,0.000132489832828,0.0970175819837,1,0.0550564622347,40,10,Tilting,no,?,?,9,'09:00:41 19/04/2016 '
easy,2,USER_FORCED,3,?,9.37916493231,229,0.001340156179,0.106291297026,5,0.0545574547576,167,74,Still,no,?,?,10,'10:04:19 19/04/2016 '
difficult,3,USER_FORCED,?,?,9.55396623406,249,9.5520401079e-05,0.0983091538434,2,0.0409968418934,442,38,Still,no,off,?,13,'13:35:59 19/04/2016 '
easy,2,USER_FORCED,?,?,10.5297387462,71,3.1352924984,1.49883120932,55,0.860203649555,2184,34,Tilting,no,?,?,7,'07:40:13 20/04/2016 '
easy,2,USER_FORCED,?,?,9.30275742872,235,8.04703458082e-05,0.103188537346,1,0.0987809098119,73,58,Still,no,?,?,9,'09:52:38 20/04/2016 '
easy,2,USER_FORCED,3,?,9.51582142007,147,0.00147964622079,0.180172930181,14,0.0911447162152,199,14,Still,no,?,?,13,'13:55:20 20/04/2016 '
difficult,5,ACTIVITY_UPDATES,?,?,9.07191226081,320,0.000158110381424,0.0685789929604,238,4.9840545287e-06,3097,81,Tilting,no,?,?,9,'09:57:19 21/04/2016 '
difficult,5,ACTIVITY_UPDATES,?,?,9.34581057895,252,7.71798723105e-05,0.0677927698972,217,4.88903807954e-06,1013,24,Tilting,no,?,?,10,'10:17:02 21/04/2016 '
easy,2,USER_FORCED,?,?,9.59075381654,247,0.000141538316068,0.0980702298629,1,0.0474776990078,417,14,Tilting,yes,?,?,8,'08:13:33 25/04/2016 '
difficult,3,USER_FORCED,?,?,9.70793736183,184,0.0286099627413,0.184216289906,3,0.0653129082416,3487,31,Still,no,off,?,10,'10:21:51 25/04/2016 '
easy,2,ACTIVITY_UPDATES,?,?,9.39138144019,150,0.0185420187607,0.29502481802,20,0.13966679682,245,10,Still,no,?,?,11,'11:48:41 25/04/2016 '
easy,2,USER_FORCED,?,?,9.31699157757,81,0.909635385546,0.529616160952,11,0.642717665329,1152,9,Still,no,?,?,11,'11:51:28 25/04/2016 '
difficult,3,USER_FORCED,?,?,9.56095819156,235,8.68639738861e-05,0.100468790277,1,0.0450521054599,499,20,?,yes,?,?,8,'08:29:57 26/04/2016 '
difficult,3,USER_FORCED,?,?,9.57394980794,164,0.00186992963287,0.157346300839,25,0.0567596199528,247,21,Tilting,no,on,?,12,'12:36:39 26/04/2016 '
easy,2,USER_FORCED,?,?,9.56428071616,211,0.00015693974775,0.0922668362156,1,0.0476643063285,106,40,Still,no,?,?,12,'12:45:03 26/04/2016 '
easy,2,USER_FORCED,4,?,9.56171954348,218,0.000140500157595,0.094995436856,1,0.0525499654093,149,39,Still,yes,?,?,9,'09:57:00 29/04/2016 '
difficult,3,USER_FORCED,?,?,9.53543712275,254,7.76015738987e-05,0.0951178798713,1,0.0439021519106,178,15,?,yes,?,?,9,'09:02:48 02/05/2016 '
difficult,3,USER_FORCED,?,?,9.50667671362,59,0.297573474395,0.433981169009,10,0.69230501743,770,18,Tilting,no,off,?,9,'09:09:55 03/05/2016 '
easy,2,USER_FORCED,?,?,9.45198852989,167,0.0193044417459,0.0985583423879,1,0.0475605061119,30,49,Tilting,no,?,?,10,'10:32:00 03/05/2016 '
easy,2,USER_FORCED,?,?,9.87587765967,42,2.30325284787,1.17282695697,13,2.49734891561,802,24,Still,no,?,?,16,'16:18:00 03/05/2016 '
difficult,3,USER_FORCED,?,?,9.44278518131,239,8.74411258599e-05,0.094160028086,1,0.0389996104628,1234,70,Still,yes,?,0,7,'07:40:51 04/05/2016 '
difficult,4,USER_FORCED,?,?,9.6883486551,234,9.82757459169e-05,0.10430733079,2,0.0417794707502,129,4,Still,no,?,0,8,'08:06:00 05/05/2016 '
easy,2,USER_FORCED,?,?,9.59765365843,232,7.85396160726e-05,0.102828218249,2,0.0477522483853,41,48,Still,no,?,0,11,'11:16:43 05/05/2016 '
difficult,3,USER_FORCED,?,?,9.97848058348,57,1.5899138587,0.620051313392,26,0.163257445991,2056,20,Tilting,no,?,0,8,'08:18:21 06/05/2016 '
easy,2,USER_FORCED,?,?,9.43288532478,254,0.000540509833964,0.0955766108169,1,0.0399969070976,806,27,Still,no,off,0,9,'09:26:15 06/05/2016 '
easy,2,ACTIVITY_UPDATES,3,?,9.70490038875,70,1.15969441949,0.941704536333,37,0.486333743852,2791,18,Still,no,off,0,11,'11:59:44 09/05/2016 '
difficult,3,USER_FORCED,3,?,9.52477862136,102,0.630110010901,0.659400501416,15,0.824941561316,388,17,?,no,on,0,12,'12:03:01 09/05/2016 '
difficult,3,USER_FORCED,?,?,9.59417177244,249,7.89181727673e-05,0.102879330237,2,0.0492172668668,145,28,?,no,?,0,7,'07:14:57 10/05/2016 '
difficult,4,USER_FORCED,?,0,9.96545895931,262,0.452344870916,0.13625079668,89,0.054795524151,6867,70,Tilting,no,?,0,15,'15:32:59 10/05/2016 '
easy,2,USER_FORCED,?,0,9.53620978829,181,0.0195256567708,0.103047440743,1,0.0539430534829,70,51,?,no,off,0,8,'08:08:07 11/05/2016 '
difficult,3,USER_FORCED,?,?,8.92784364835,220,9.81244067368e-05,0.0929863633352,1,0.0499002541315,276,37,Tilting,no,?,0,7,'07:31:30 12/05/2016 '
difficult,3,USER_FORCED,?,?,9.58174771784,206,8.70091029235e-05,0.108075028297,1,0.0585239453755,30,8,Still,no,?,0,9,'09:21:01 13/05/2016 '
easy,2,USER_FORCED,?,?,9.78449912517,57,1.75331627522,1.03174071626,8,2.49779029178,1229,22,Still,no,?,0,10,'10:24:49 17/05/2016 '
difficult,3,USER_FORCED,?,?,9.53347041212,226,9.23331365806e-05,0.0998347869539,2,0.0429285051751,193,42,Still,yes,?,0,9,'09:11:38 18/05/2016 '
easy,1,USER_FORCED,3,?,9.50350280023,208,0.00456050633552,0.100219871496,7,0.0444145202435,197,18,Still,no,?,0,8,'08:39:14 19/05/2016 '
easy,2,USER_FORCED,4,?,9.81588165244,153,0.181301851347,0.142574047735,14,0.0430203105545,2015,33,Tilting,no,?,?,17,'17:24:30 08/04/2016 '
easy,2,USER_FORCED,?,?,9.74615600491,167,0.103247013826,0.142912058078,24,0.0476323740114,522,28,Tilting,no,?,?,23,'23:43:15 14/04/2016 '
easy,1,USER_FORCED,?,?,9.89873449487,185,0.609771208924,0.220991919465,167,0.00961039117956,12146,53,'In Vehicle',no,?,?,7,'07:51:23 22/04/2016 '
easy,2,USER_FORCED,?,?,9.74524998448,201,0.706464302722,0.335775627253,1,0.496705811297,8721,35,Unknown,no,?,?,16,'16:54:41 24/04/2016 '
easy,2,USER_FORCED,?,?,9.79216394633,229,0.000327457544136,0.00204797322635,207,7.22394544312e-07,254,65,Still,yes,?,?,11,'11:30:44 25/04/2016 '
easy,2,USER_FORCED,?,?,9.77611800158,257,0.000678306125094,0.00190901560372,148,1.76390707293e-06,432,32,Still,yes,?,?,11,'11:04:42 26/04/2016 '
easy,2,USER_FORCED,?,?,9.78304660656,224,0.000317084583205,0.00249402146879,136,2.00178392087e-05,267,62,Still,yes,?,?,11,'11:02:00 28/04/2016 '
easy,2,ACTIVITY_UPDATES,?,?,9.83975432788,193,0.291161236808,0.175309386065,34,0.051086731238,10160,60,Tilting,no,?,?,12,'12:35:43 02/05/2016 '
easy,2,LOCATION_UPDATES,3,?,9.84442935876,129,0.18802716214,0.248639511214,60,0.0562048736474,508,16,Still,no,?,?,14,'14:34:31 02/05/2016 '
easy,2,USER_FORCED,?,?,9.79337005864,212,0.000291618377529,0.00172244684955,187,7.00178815359e-07,183,93,Still,yes,?,?,11,'11:47:54 03/05/2016 '
easy,2,USER_FORCED,?,?,9.78035512165,244,0.000334127327364,0.00278466876174,167,5.61173505898e-06,561,15,Still,yes,?,?,10,'10:58:21 04/05/2016 '
easy,2,NONE,?,?,9.76711230145,262,0.000628689321039,0.00181049352215,203,1.14155300567e-06,4504,9,Still,yes,?,0,13,'13:57:14 05/05/2016 '
easy,2,USER_FORCED,?,?,9.81204162228,338,0.159170096432,0.0310856087023,142,0.000213255311973,4929,66,Tilting,no,?,0,9,'09:22:48 06/05/2016 '
easy,2,USER_FORCED,?,?,9.83291445341,56,0.863812963591,0.370871345404,7,0.368815790047,1987,31,?,no,?,0,17,'17:52:44 06/05/2016 '
difficult,3,USER_FORCED,3,?,10.2904513361,229,0.0010285860995,0.00200661519824,190,1.34581631911e-06,146,26,Tilting,no,?,?,20,'20:01:01 11/04/2016 '
difficult,3,USER_FORCED,5,?,10.5477126295,81,0.941777756806,0.377858685826,47,0.0739945620061,3212,39,Tilting,no,?,?,20,'20:32:50 12/04/2016 '
easy,1,USER_FORCED,1,?,10.5359856353,156,0.0151221796411,0.056245887465,177,0.000538860258139,35,71,Still,no,?,?,16,'16:58:28 13/04/2016 '
difficult,3,USER_FORCED,2,?,10.3377074816,221,0.000385686582153,0.00177074200722,223,5.89161310092e-07,1053,48,Still,no,?,?,21,'21:52:39 24/04/2016 '
easy,2,USER_FORCED,2,?,10.0632351158,214,0.000404703515032,0.00175433347069,217,6.52682235094e-07,312,16,Tilting,no,?,?,0,'00:05:34 26/04/2016 '
difficult,3,USER_FORCED,3,?,10.3736549119,114,0.13668342406,0.234140305879,42,0.0498422935839,2095,28,?,no,?,?,10,'10:44:41 26/04/2016 '
easy,1,USER_FORCED,4,?,10.5076301303,130,0.00343943766485,0.0791002894927,67,0.0104897439301,107,89,Unknown,no,?,?,0,'00:37:25 28/04/2016 '
difficult,3,USER_FORCED,52,?,10.5827452283,161,0.0762427545281,0.0947969618725,58,0.00690540215335,1724,34,?,no,?,0,11,'11:12:08 16/05/2016 '
easy,1,USER_FORCED,?,?,9.7581468334,205,0.0367658535351,0.113226511525,39,0.0165506160867,3148,88,?,no,?,?,6,'06:29:18 05/04/2016 '
easy,2,USER_FORCED,10,?,10.2124287405,78,0.370032555502,0.380345859893,14,0.259907114647,2211,30,?,no,?,?,12,'12:03:56 06/04/2016 '
easy,2,USER_FORCED,3,?,9.38228411131,191,0.00765710734844,0.0648675694761,50,0.00462302767128,49,53,Still,no,?,?,19,'19:07:43 07/04/2016 '
easy,1,USER_FORCED,2,?,9.4845831628,147,0.00519525419006,0.0255495763893,96,0.000212278878829,6259,39,Still,no,?,?,17,'17:24:23 08/04/2016 '
difficult,3,USER_FORCED,?,?,9.53682004063,87,0.187752183327,0.0651484726496,20,0.0166792830829,390,14,Tilting,no,?,?,23,'23:09:18 17/04/2016 '
easy,2,USER_FORCED,?,?,9.5267045875,205,0.00538025395648,0.0156028537238,67,0.00166869657847,2917,29,Still,no,?,?,9,'09:55:17 19/04/2016 '
easy,1,USER_FORCED,20,?,9.9104178938,254,0.000132701366932,0.0014783225257,194,4.44281852236e-07,208,30,Still,no,?,?,9,'09:53:28 13/04/2016 '
easy,1,USER_FORCED,?,?,10.2686144456,129,0.31274564218,0.311250524318,50,0.105856929433,137,39,Still,yes,off,?,10,'10:04:11 14/04/2016 '
easy,2,USER_FORCED,?,?,10.28882714,136,0.19042291941,0.391405364687,35,0.198313057429,217,23,Still,yes,?,?,10,'10:05:33 14/04/2016 '
difficult,3,USER_FORCED,?,?,9.95959129426,300,0.000515621788995,0.00226567889508,210,7.51290694414e-07,353,40,Still,yes,?,?,17,'17:33:41 14/04/2016 '
